TXNAME	GENEID	HepG2_directRNA_R1.sorted	A549_directRNA_R2.sorted	A549_directRNA_R3.sorted	HepG2_directRNA_R2.sorted	HepG2_directRNA_R3.sorted	A549_directRNA_R1.sorted
BambuTx1	ENSG00000237299	0	2	2	0	0	0
BambuTx2	ENSG00000225255	0	5	0	0	0	0
BambuTx3	ENSG00000206195	1.07692	6.02465	2.92856	0	0	0
BambuTx4	ENSG00000206195	0	5.53555	3.59631	1	0	0
BambuTx5	ENSG00000206195	11.84615	21.98035	7.3214	0	0	2
BambuTx6	ENSG00000237517	0	8	5	0	0	0
BambuTx7	ENSG00000070010	11.8	36.39896	23.06325	2.28571	0	4.64865
BambuTx8	ENSG00000099904	0	5	0	0	0	0.75
BambuTx9	ENSG00000099904	5.5	2.5	1.88787	0	0	0.75
BambuTx10	ENSG00000128185	0	3.20521	1.085	0	0	2.27273
BambuTx11	ENSG00000226287	0	6.97744	3.31852	2	0	0
BambuTx12	ENSG00000226287	0	7.92365	1.68148	0	2	1
BambuTx13	ENSG00000161179	6.6531	12.75839	2.43125	1.15775	1	0
BambuTx14	ENSG00000272779	2	23	4.8	1	0	2
BambuTx15	ENSG00000272779	4	34	10	0	1	2
BambuTx16	ENSG00000099991	0	18.6933	3.92367	0.8	0	1.50514
BambuTx17	ENSG00000100031	0	127.50806	14.50515	0	0	0
BambuTx18	ENSG00000100031	4.21057	73.65965	46.25277	0	0	12.82931
BambuTx19	ENSG00000100104	0	9	1.2	0	1.33333	0
BambuTx20	ENSG00000100319	8.57143	36.65625	16.5	6	0	5.6
BambuTx21	ENSG00000128342	0	34.51717	18.25666	0	0	1
BambuTx22	ENSG00000239282	0	2.07407	0	0	0	0
BambuTx23	ENSG00000198832	1	45.88605	15.12161	0	0	9.40734
BambuTx24	ENSG00000198832	0	37.54313	4.32046	0	0	2.09052
BambuTx25	ENSG00000100281	0	14.2149	0	0	0	0
BambuTx26	ENSG00000198125	0	4.48758	0	0	0	1.47496
BambuTx27	ENSG00000100348	3.32623	19.38686	3.3911	3	0	2.48646
BambuTx28	BambuGene1	4	2	0	1	0	0
BambuTx29	ENSG00000100097	3	175.98521	72.24646	0	0	29.3855
BambuTx30	BambuGene3	0	2	0	0	0	0
BambuTx31	ENSG00000100129	32.88807	121.78589	7.02459	1.17828	1.22026	10.78601
BambuTx32	ENSG00000128298	0	2.60571	0	0	0	1
BambuTx33	ENSG00000100211	0	3.45477	0	0	0	0
BambuTx34	ENSG00000100242	32	82.23726	44	3.60749	6	16
BambuTx35	ENSG00000100354	0	7.14724	0	0	1	0
BambuTx36	ENSG00000100359	3	7.96011	7	0	0	0
BambuTx37	ENSG00000230071	0	3	0	0	0	0
BambuTx38	ENSG00000100417	1.29225	8.07809	2.07665	1.125	0	5.2
BambuTx39	ENSG00000100417	10.33803	9.2321	3.11497	0	0	2.6
BambuTx40	ENSG00000128274	0	3	2	0	0	0
BambuTx41	ENSG00000242247	5.68421	26.07821	1.69231	3	0	0
BambuTx42	ENSG00000100266	8.90868	5.43418	7.86288	0	0	4.66667
BambuTx43	ENSG00000100376	9.76763	9.13132	0.5	0	0	2
BambuTx44	ENSG00000238120	0	2	0	0	0	0
BambuTx45	ENSG00000273145	0	4.5	0.5	0	0	0.5
BambuTx46	ENSG00000075240	1.68245	6.09868	3.3898	0	0	0
BambuTx47	ENSG00000100425	3.15886	9.73065	5.47601	0	0	0
BambuTx48	ENSG00000073169	0	7.4755	1.12423	0	1.97806	1.11638
BambuTx49	ENSG00000185386	0	4.63912	1	0	0	0
BambuTx50	ENSG00000213683	0	72.18952	1	0	0	1
BambuTx51	ENSG00000184319	4.28571	27.0101	8.76721	0	0	1.33333
BambuTx52	ENSG00000223875	1	0	0	0	0	2
BambuTx53	ENSG00000184979	4.36364	0	0	0	0	1
BambuTx54	ENSG00000236794	2	0	0	0	0	0
BambuTx55	ENSG00000133460	4.15675	0	0	0	0	0
BambuTx56	ENSG00000235689	3	0	0	0	0	0
BambuTx57	ENSG00000100209	5.78527	1.05049	1	0	0	0
BambuTx58	ENSG00000206195	1.07692	3.30688	4.73421	0	0	1
BambuTx59	ENSG00000242259	0	0	2.15707	0	0	0
BambuTx60	ENSG00000184436	0	1.78999	2.51003	0	0	0
BambuTx61	ENSG00000100124	0	0	2.4	0	0	0
ENST00000006251	ENSG00000186654	7.25698	20.00225	5.80105	1.80781	0	1.59935
ENST00000008876	ENSG00000008735	5.40592	5.9008	2.45027	0	0	0
ENST00000043402	ENSG00000040608	0.33333	21	8	0	0	0.33333
ENST00000086933	ENSG00000063515	0	0	0	0	0	0
ENST00000155674	ENSG00000069998	0	1.51292	0	0	0	0
ENST00000159647	ENSG00000073150	0	0	0	0	0	0
ENST00000207636	ENSG00000093010	0	3.23993	0	2.19872	0	0
ENST00000215659	ENSG00000188130	3.66667	15.45074	7.30168	0	1	0
ENST00000215727	ENSG00000099937	295	0	0	46	50	0
ENST00000215730	ENSG00000099940	21	81	27	3	1	9
ENST00000215739	ENSG00000099949	11	34	13	0.5	1	5
ENST00000215742	ENSG00000184436	10.65377	51.37052	8.98425	0	0.01527	2.85059
ENST00000215743	ENSG00000099953	14	0	0	0.5	5	0
ENST00000215754	ENSG00000240972	1100.04775	5537.98274	1896.12054	212	64.5725	590.60305
ENST00000215770	ENSG00000099974	5	30	3	0	3	2
ENST00000215781	ENSG00000099985	0	0	0	0	0	0
ENST00000215790	ENSG00000099992	8.75948	25	7.24105	1	1	3
ENST00000215793	ENSG00000099995	85	252	99	16	10	26.69269
ENST00000215794	ENSG00000184979	11.63636	19	3	0	2	1
ENST00000215798	ENSG00000099999	0	0	0	0	0	0.02048
ENST00000215812	ENSG00000100012	0	0	0	0	0	0
ENST00000215829	ENSG00000100028	104	491	229	15	10	85
ENST00000215832	ENSG00000100030	136	206.97441	75	28	12	25
ENST00000215838	ENSG00000185339	2	15	7	0	0.5	5
ENST00000215855	ENSG00000100053	0	0	0	0	0	0
ENST00000215862	ENSG00000133422	0	0	0	0	1	0
ENST00000215882	ENSG00000100075	122.97383	389.56505	141.55	11	11	51.48936
ENST00000215885	ENSG00000100078	0	0	0	0	0	0
ENST00000215886	ENSG00000100079	66	0	0	5	3	1
ENST00000215904	ENSG00000241360	75	79	26	7	11	8
ENST00000215906	ENSG00000128203	0	7	0	0	0	1
ENST00000215909	ENSG00000100097	54.4158	2905.05702	983.98191	18	16.28571	360.6145
ENST00000215912	ENSG00000100100	4	0	1	1	0	0
ENST00000215917	ENSG00000100104	27	37	28.8	0	2.66667	4
ENST00000215919	ENSG00000100105	13.85006	25.29097	4	0	0	0
ENST00000215939	ENSG00000100122	0	0	0	0	0	0
ENST00000215941	ENSG00000100124	44	52	15.6	1	0	6
ENST00000215956	ENSG00000100138	326.45588	53.18167	6.46943	38.93178	16.64727	7.69913
ENST00000215957	ENSG00000100139	29	40	22	8	1	5
ENST00000215980	ENSG00000100162	0	144.66375	56.73931	0	0	25
ENST00000216014	ENSG00000100196	10	64.92001	7	2.2047	4	9
ENST00000216019	ENSG00000100201	0	2.226	0	0	0	0
ENST00000216024	ENSG00000100206	0	0	1	0	0	1
ENST00000216027	ENSG00000100209	15.02525	29.8314	7	0.5	4	3.39612
ENST00000216029	ENSG00000100211	1.75499	21.52068	13.84615	2	1	2
ENST00000216034	ENSG00000100216	142	504	138	24	10	65
ENST00000216036	ENSG00000100218	0	3	2	0	0	1
ENST00000216037	ENSG00000100219	661.2306	279.07784	94.4	125.97924	70.85294	63.423
ENST00000216038	ENSG00000100220	90	341	116	13.34016	12	41
ENST00000216039	ENSG00000100221	42	76	27	6	4	8
ENST00000216044	ENSG00000100226	26	23	4	5	1	4
ENST00000216061	ENSG00000100239	0	0	0	0	0	0
ENST00000216068	ENSG00000100246	8	31	10	2	1	3
ENST00000216071	ENSG00000100249	0	0	0	0	0	0
ENST00000216075	ENSG00000100253	1.5	0	0	1	0	0
ENST00000216080	ENSG00000100258	15.25074	6.8125	3.42857	4.33333	0	0
ENST00000216083	ENSG00000183741	0	0	0	0	0	0
ENST00000216085	ENSG00000100263	17	30	9	3	2	2
ENST00000216099	ENSG00000243811	0	0	0	0	0	0
ENST00000216101	ENSG00000100276	0	1	0	0	0	0
ENST00000216106	ENSG00000100281	0	2.5702	1.19145	0	0	0
ENST00000216115	ENSG00000100290	24	5	1	0	2	0
ENST00000216117	ENSG00000100292	85	818	254	16	9	64
ENST00000216121	ENSG00000184117	101	245	115	13	7	23
ENST00000216122	ENSG00000100297	19	504.77674	177.85704	3	1	58
ENST00000216124	ENSG00000100299	5.87637	18.27423	5.56859	2	0.03948	3
ENST00000216127	ENSG00000100302	0	5	0	0	0	2
ENST00000216129	ENSG00000100304	64.63006	112.25455	32	3.51169	10	12.33712
ENST00000216133	ENSG00000100307	3	4	0	0	0	0
ENST00000216139	ENSG00000100312	1	0	0	0	0	0
ENST00000216144	ENSG00000100314	0	3	0	0	0	0
ENST00000216146	ENSG00000100316	1472.12454	2264.56168	967.72184	176.70366	28.93749	406.99734
ENST00000216155	ENSG00000100321	0	0	0	0	0	0
ENST00000216160	ENSG00000100324	11	34	19	4	3	4
ENST00000216177	ENSG00000100341	0	0	0	0	0	0
ENST00000216180	ENSG00000100344	0	2	0	0	0	0.5
ENST00000216181	ENSG00000100345	262	641	251	26	25	66
ENST00000216185	ENSG00000100348	67.50981	250.12108	63.89017	11	10	28.51354
ENST00000216187	ENSG00000100350	1.66667	0	0	0	0	0
ENST00000216190	ENSG00000100353	164	547	184	23	17	51
ENST00000216194	ENSG00000239900	0	0	0	0	0	0
ENST00000216200	ENSG00000100362	0	0	0	0	0	0
ENST00000216211	ENSG00000100373	1	0	0	1	0	0
ENST00000216214	ENSG00000100376	3.64904	4.04154	0.5	1.72288	1	0
ENST00000216218	ENSG00000100380	306	426.99766	207	43	36	67
ENST00000216223	ENSG00000100385	1	0	0	0	0	0
ENST00000216225	ENSG00000100387	110	336.52328	186	22	9.3825	66
ENST00000216237	ENSG00000100395	19.40867	38	19	1	1	3
ENST00000216241	ENSG00000100399	13	0	0	1	2	0
ENST00000216252	ENSG00000100410	49.98	239.99583	77	11	8	35
ENST00000216254	ENSG00000100412	91	222	83.39623	15	6	21
ENST00000216259	ENSG00000100417	52.36972	86.59335	19.72815	7.875	3	18.2
ENST00000216264	ENSG00000100422	81	81	21	11	6	7
ENST00000216267	ENSG00000100425	7.38418	5.41108	5.64292	2	1	4
ENST00000216268	ENSG00000100426	15	35	15	3	3	8
ENST00000216271	ENSG00000100429	7	0.74888	1	0.33333	0	0
ENST00000248846	ENSG00000128159	4	7.5	1.85971	0	0	1
ENST00000248879	ENSG00000128185	22	133.55033	61.84527	2	3	22.72727
ENST00000248899	ENSG00000100365	0	0	0	0	0	0
ENST00000248901	ENSG00000100055	0	0	0	0	0	0
ENST00000248923	ENSG00000100031	0	0	0	0	0	0
ENST00000248924	ENSG00000100116	6	14	7	1	1	1
ENST00000248929	ENSG00000100359	0	15.92023	7	0	0	3
ENST00000248933	ENSG00000100095	0	0	0	0	0	0
ENST00000248948	ENSG00000128218	0	0	0	0	0.5	0
ENST00000248958	ENSG00000128228	26	220	77	2	2	27
ENST00000248975	ENSG00000128245	101.52113	537.82857	167	13.5	8	62.06061
